,train_val_date,test_date,train_loss,val_loss,ave_test_loss,train_mse,val_mse,ave_test_mse,train_ic,val_ic,ave_test_ic
0,20170103-20170321 20180109-20180327,20180110-20180328 20180206-20180426,0.717978966,0.78508403,0.792717324,0.924846615,1.108043745,1.039058982,0.229403026,0.05066023,-0.017055757
1,20170103-20170321 20180206-20180426,20180207-20180427 20180313-20180528,0.741351319,0.789552865,0.784966107,0.976616974,1.097372251,1.013783409,0.1891574,0.081725653,0.10676299
2,20170103-20170321 20180313-20180528,20180314-20180529 20180412-20180626,0.708658696,0.751702272,0.813137284,0.901787685,0.928507003,1.16907968,0.264427364,0.163411045,-0.06106316
3,20170103-20170321 20180412-20180626,20180413-20180627 20180514-20180724,0.706712926,0.74919072,0.810455524,0.889639506,0.960100958,1.11309226,0.280665772,0.1937067,-0.055934013
4,20170103-20170321 20180514-20180724,20180515-20180725 20180611-20180821,0.724140348,0.797011788,0.764010367,0.930803339,1.114365694,1.040156909,0.2260208,-0.007407479,0.05690606
5,20170103-20170321 20180611-20180821,20180612-20180822 20180710-20180918,0.724413121,0.795683528,0.765556835,0.929466328,1.114965898,1.02996015,0.259201092,0.003336331,0.130776379
6,20170103-20170321 20180710-20180918,20180711-20180919 20180807-20181024,0.85756543,0.858257887,0.855612441,1.203628214,1.189440023,1.281210365,0.035319648,0.077814328,-0.156091263
7,20170103-20170321 20180807-20181024,20180808-20181025 20180904-20181121,0.722044142,0.752871539,0.784053535,0.92596424,1.002460314,1.096048654,0.255221058,0.057494536,-0.151896377
8,20170103-20170321 20180904-20181121,20180905-20181122 20181010-20181219,0.730923426,0.775659622,0.793857328,0.954064195,1.099202671,1.080154778,0.215346714,-0.13828903,0.04861186
9,20170103-20170321 20181010-20181219,20181011-20181220 20181107-20190118,0.861936543,0.847994892,0.839661861,1.249889121,1.233368118,1.25215264,0.026956204,0.024990314,-0.015293987
10,20170103-20170321 20181107-20190118,20181108-20190121 20181205-20190222,0.728768301,0.769071067,0.764319771,0.952648016,1.012432413,1.11571739,0.181974763,0.084200481,-0.104937667
11,20170103-20170321 20181205-20190222,20181206-20190225 20190104-20190322,0.727466871,0.747279486,0.713448181,0.939479972,1.040550836,0.956615965,0.207075478,-0.006284234,0.119844138
12,20170103-20170321 20190104-20190322,20190107-20190325 20190201-20190422,0.728672805,0.735568322,0.744693768,0.940631494,1.046962872,0.936897388,0.217886493,-0.05437198,0.249359125
13,20170103-20170321 20190201-20190422,20190211-20190423 20190308-20190523,0.853860162,0.831050988,0.831156241,1.239429765,1.246810588,1.211526505,0.025312819,0.038247093,0.063361274
14,20170103-20170321 20190308-20190523,20190311-20190524 20190408-20190621,0.737428001,0.731915105,0.741158942,0.972731186,0.963127035,0.976809491,0.154712817,0.229094432,0.177224421
15,20170103-20170321 20190408-20190621,20190409-20190624 20190509-20190719,0.730689019,0.737081581,0.749716195,0.956666144,0.959852577,1.011469869,0.169420995,0.239186454,0.105301281
16,20170103-20170321 20190509-20190719,20190510-20190722 20190606-20190816,0.72828716,0.732208899,0.77432845,0.952759852,0.989306394,1.057076807,0.204207881,0.221956123,0.004468701
17,20170103-20170321 20190606-20190816,20190610-20190819 20190705-20190916,0.726464186,0.745880518,0.74165899,0.945751046,0.996406641,0.984340296,0.205302677,0.16205084,0.107304626
18,20170103-20170321 20190705-20190916,20190708-20190917 20190802-20191021,0.821227984,0.824028046,0.804937265,1.177360413,1.18489881,1.09985175,0.041728363,0.03761715,0.133477886
19,20170103-20170321 20190802-20191021,20190805-20191022 20190830-20191118,0.859684952,0.89020758,0.875952154,1.240722735,1.274417113,1.297779622,0.063814914,0.03491779,-0.019874297
20,20170103-20170321 20190830-20191118,20190902-20191119 20190930-20191216,0.713040682,0.756802713,0.789472251,0.90674741,1.02058762,1.06209806,0.215344536,0.023032448,-0.084373452
21,20170103-20170321 20190930-20191216,20191008-20191217 20191104-20200114,0.728331431,0.773214507,0.791837398,0.947662405,1.046946474,1.023437633,0.176300661,0.04212267,0.014526619
22,20170103-20170321 20191104-20200114,20191105-20200115 20191202-20200219,0.730087074,0.772330174,0.789560463,0.953929835,1.031018699,1.042123968,0.183594746,-0.00226429,-0.048554087
23,20170103-20170321 20191202-20200219,20191203-20200220 20191230-20200318,0.857505798,0.878975018,0.83271673,1.242206395,1.267166097,1.160916786,0.035236269,0.012728442,0.089034656
24,20170103-20170321 20191230-20200318,20191231-20200319 20200205-20200416,0.729023679,0.780983384,0.784067938,0.949487323,1.033374535,0.960362701,0.187314639,0.018631266,0.200141365
