,strategy_date,top_indus_ratio,all_indus_ratio
0,20180329-20180427,0.976784071,0.970830771
1,20180502-20180529,1.005752948,1.00955244
2,20180530-20180627,0.938086452,0.909892257
3,20180628-20180725,1.042271869,1.047468262
4,20180726-20180822,0.932894253,0.924267882
5,20180823-20180919,0.978323039,0.978935565
6,20180920-20181025,0.917313837,0.908335443
7,20181026-20181122,1.040261396,1.073520623
8,20181123-20181220,0.981631505,0.982740894
9,20181221-20190121,1.03962855,1.036637314
10,20190122-20190225,1.157114694,1.159595649
11,20190226-20190325,1.054121384,1.086681955
12,20190326-20190423,1.058251554,1.055641816
13,20190424-20190524,0.874591567,0.863100467
14,20190527-20190624,1.030333224,1.028636299
15,20190625-20190722,0.981488151,0.961258432
16,20190723-20190819,1.004636632,1.000954391
17,20190820-20190917,1.050316224,1.045719061
18,20190918-20191022,0.987722793,0.977836705
19,20191023-20191119,1.004389255,0.998016904
20,20191120-20191217,1.035145038,1.047764334
21,20191218-20200115,1.040589531,1.055802814
22,20200116-20200220,1.02234185,1.004740388
23,20200221-20200319,0.891764479,0.894549342
24,20200320-20200417,1.044483939,1.025399239
